name,company,country,price,ratings,score,type,rum_url,img_url,br_score
Navazos Palazzi 2014 Cask Strength,Unknown,Spain,0,3,8,Aged,/brands/5171-navazos-palazzi-2014-cask-strength,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5171/small_ron-navazos-palazzi-cask-strength-2014.png,5.455279891
Navazos Palazzi 2013 Cask Strength,Unknown,Spain,0,2,8,Aged,/brands/3879-navazos-palazzi-2013-cask-strength,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3879/small_ron-navazos-palazzi-cask-strength-2013.png,5.262907262
Navy Bay Dark,Unknown,Jamaica,0,2,5,Dark,/brands/8776-navy-bay-dark,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.809326622
Navy Island Navy Strenght,Navy Island,Jamaica,0,3,4.3,Aged,/brands/6584-navy-island-navy-strenght,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6584/small_navy-island-navy-strenght.png,4.675132345
Navy Island Select Cask 10-Year,Navy Island,Jamaica,0,2,6,Aged,/brands/7144-navy-island-select-cask-10-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/7144/small_navy-island-select-cask-10-year.png,4.960520169
Navy Island XO Reserve,Navy Island,Jamaica,0,15,5.9,Aged,/brands/4153-navy-island-xo-reserve,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4153/small_Navy_Island_XO_Reserve_rum_400px.png,5.418549838
Navy Neaters 95.5,Unknown,United Kingdom,0,0,0,Overproof,/brands/5677-navy-neaters-95-5,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5677/small_Navy_Neaters_95.5_rum_400px.png,4.77536295
Nectar Azul,Nectar,Colombia,0,0,0,Light,/brands/573-nectar-azul,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/573/small_Nectar_Azul_rum.png,4.77536295
Nectar Club,Nectar,Colombia,0,1,3,Light,/brands/574-nectar-club,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/574/small_Nectar_Club_rum.png,4.63017554
Nectar Tradicional,Nectar,Colombia,0,0,0,Light,/brands/575-nectar-tradicional,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/575/small_Nectar_Tradicional_rum.png,4.77536295
Negrita 8,Negrita,Martinique,0,2,6,Aged,/brands/576-negrita-8,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/576/small_Negrita__8_rum_400px.png,4.960520169
Negrita Anejo,Negrita,Martinique,0,5,4.4,Gold,/brands/2238-negrita-anejo,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2238/small_negrita-anejo.png,4.659710636
Negrita Anejo Reserve,Negrita,Martinique,0,2,5.5,Aged,/brands/8870-negrita-anejo-reserve,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8870/small_negrita-anejo-reserve.png,4.884923396
Negrita Bardinet,Negrita,Martinique,0,11,4.3,Gold,/brands/2239-negrita-bardinet,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2239/small_negrita-bardinet.png,4.540120277
Negrita Cream,Negrita,Martinique,0,0,0,Flavored,/brands/1432-negrita-cream,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1432/small_negrita__cream_rum_orginal_400px.png,4.77536295
Negrita Dark,Negrita,Martinique,0,75,3,Dark,/brands/577-negrita-dark,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/577/small_Negrita_Dark_rum.png,3.231176594
Negrita Negrita Top Series,Negrita,Martinique,0,2,7.5,Dark,/brands/5395-negrita-negrita-top-series,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.187310489
Negrita Spice,Negrita,Martinique,0,19,4.8,Spiced,/brands/578-negrita-spice,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/578/small_Negrita_Spice_rum.png,4.790848683
Negrita White,Negrita,Martinique,0,6,3.8,Light,/brands/579-negrita-white,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/579/small_Negrita_White_rum.png,4.435674578
Neisson 2012 4eme De Belgique 5-Year,Neisson,Martinique,0,2,7.5,Aged,/brands/5919-neisson-2012-4eme-de-belgique-5-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.187310489
Neisson 2012 58,Neisson,Martinique,0,1,8,Aged,/brands/8363-neisson-2012-58,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8363/small_neisson-2012-58.png,5.03907055
Neisson Aged Rum Special Reserve,Neisson,Martinique,0,0,0,Aged,/brands/580-neisson-aged-rum-special-reserve,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/580/small_Neisson_Aged_Rum_Special_Reserve_rum.png,4.77536295
Neisson 1993 Armada,Neisson,Martinique,0,0,0,Aged,/brands/8688-neisson-1993-armada,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Neisson 1995 Armada,Neisson,Martinique,0,0,0,Aged,/brands/8693-neisson-1995-armada,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8693/small_neisson-armada-1995.png,4.77536295
Neisson 1992 Armada,Neisson,Martinique,0,0,0,Aged,/brands/8689-neisson-1992-armada,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Neisson Bio Agricole Blanc 52.5,Neisson,Martinique,0,4,7.5,Agricole,/brands/6830-neisson-bio-agricole-blanc-52-5,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6830/small_neisson-bio-agricole-blanc-52-5.png,5.491050664
Neisson Blanc 52.5,Neisson,Martinique,0,9,8,Agricole,/brands/3948-neisson-blanc-52-5,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3948/small_neisson-blanc-52-5.png,6.210088173
Neisson Blended Bio Agricole Blanc 52.5% Limited Edition,Neisson,Martinique,0,1,4,Agricole,/brands/6831-neisson-blended-bio-agricole-blanc-52-5-limited-edition,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.711954542
Neisson Cuvee Du 3eme Millenaire XO,Neisson,Martinique,0,2,9.5,Aged,/brands/5849-neisson-cuvee-du-3eme-millenaire-xo,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5849/small_neisson-cuvee-du-3eme-millenaire-xo.png,5.489697582
